file,result,error
cnp01382157,True,
cnp01371511,True,
cnp01443734,True,
cnp00099486,True,
cnp01919632,True,
cnp01884261,True,
cnp00981196,True,
cnp01919634,True,
cnp00384742,True,
cnp00900145,True,
cnp01005388,True,
cnp01200592,True,
cnp00099596,True,
cnp01919638,True,
cnp01022250,True,
cnp00099652,True,
cnp01230224,True,
cnp02101595,True,
cnp01316341,True,
cnp01350201,True,
cnp02138394,True,
cnp01406042,True,
cnp01039622,True,
cnp01019887,True,
cnp01911207,True,
cnp01120503,True,
cnp00099707,True,
cnp02063933,True,
cnp01360324,True,
cnp00385731,True,
cnp02187282,True,
cnp00901761,True,
cnp01876658,True,
cnp01468084,True,
cnp00412417,True,
cnp00951066,True,
cnp00428303,True,
cnp00935714,True,
cnp01313405,True,
cnp00099863,True,
cnp00656276,True,
cnp00126948,True,
cnp01882444,True,
cnp00432861,True,
cnp02113927,True,
cnp01919642,True,
cnp01879063,True,
cnp00431494,True,
cnp01271306,True,
cnp01395548,True,
cnp02235885,True,
cnp01919643,True,
cnp01410458,True,
cnp00950376,True,
cnp01327983,True,
cnp00639985,True,
cnp00017586,True,
cnp01180322,True,
cnp00390975,True,
cnp00475665,True,
cnp01230587,True,
cnp01973939,True,
cnp00946101,True,
cnp00385870,True,
cnp00394069,True,
cnp01880963,True,
cnp01893537,True,
cnp01347892,True,
cnp02289918,True,
cnp00394082,True,
cnp00442569,True,
cnp01985074,True,
cnp01316398,True,
cnp02266756,True,
cnp01401002,True,
cnp01022587,True,
cnp01347939,True,
cnp00827344,True,
cnp01327988,True,
cnp02140685,True,
cnp02266318,True,
cnp00846462,True,
cnp01006600,True,
cnp01273893,True,
cnp02106929,True,
cnp01919647,True,
cnp01919648,True,
cnp01281146,True,
cnp00489873,True,
cnp01880656,True,
cnp01078061,True,
cnp01364652,True,
cnp01302791,True,
cnp01078157,True,
cnp01354003,True,
cnp02312162,True,
cnp00017635,True,
cnp00900804,True,
cnp00145517,True,
cnp00427443,True,
cnp00100623,True,
cnp01978028,True,
cnp02134922,True,
cnp01364676,True,
cnp02317470,True,
cnp00287013,True,
cnp01320054,True,
cnp01880566,True,
cnp01010326,True,
cnp02244896,True,
cnp01361231,True,
cnp00820002,True,
cnp00667611,True,
cnp02142017,True,
cnp00370784,True,
cnp01131737,True,
cnp00649901,True,
cnp00430633,True,
cnp00936828,True,
cnp02143646,True,
cnp01397388,True,
cnp02294466,True,
cnp02294307,True,
cnp00390358,True,
cnp00822732,True,
cnp01010751,True,
cnp01226188,True,
cnp01912085,True,
cnp00557459,True,
cnp01155901,True,
cnp00446750,True,
cnp01329248,True,
cnp02162969,True,
cnp01360154,True,
cnp01419086,True,
cnp01336175,True,
cnp01919652,True,
cnp01329886,True,
cnp01329730,True,
cnp01348997,True,
cnp01277370,True,
cnp01881051,True,
cnp01307458,True,
cnp01338801,True,
cnp00951335,True,
cnp00390388,True,
cnp01316493,True,
cnp02235906,True,
cnp00905813,True,
cnp01316503,True,
cnp01435092,True,
cnp01468914,True,
cnp01389573,True,
cnp01328238,True,
cnp01415197,True,
cnp01238784,True,
cnp00561947,True,
cnp01017951,True,
cnp00283141,True,
cnp02162972,True,
cnp00176141,True,
cnp01225960,True,
cnp00471286,True,
cnp02114812,True,
cnp01919655,True,
cnp01331142,True,
cnp02162975,True,
cnp00870301,True,
cnp01919656,True,
cnp00503273,True,
cnp01419696,True,
cnp01467090,True,
cnp01336730,True,
cnp01199180,True,
cnp01316530,True,
cnp00626410,True,
cnp00101218,True,
cnp02138644,True,
cnp00471549,True,
cnp00381221,True,
cnp00973415,True,
cnp02120891,True,
cnp01177963,True,
cnp00924536,True,
cnp00504169,True,
cnp00397446,True,
cnp00613945,True,
cnp02128577,True,
cnp00504752,True,
cnp01011319,True,
cnp01316539,True,
cnp00639317,True,
cnp02230942,True,
cnp00283140,True,
cnp01370615,True,
cnp01231352,True,
cnp02181017,True,
cnp01231373,True,
cnp01320598,True,
cnp01880790,True,
cnp00167512,True,
cnp01200223,True,
cnp01231403,True,
cnp01291828,True,
cnp01303100,True,
cnp02127710,True,
cnp01208519,True,
cnp00638047,True,
cnp01919658,True,
cnp01002799,True,
cnp02197924,True,
cnp01127772,True,
cnp01377605,True,
cnp01073918,True,
cnp01920892,True,
cnp00580895,True,
cnp01323883,True,
cnp01337053,True,
cnp01436478,True,
cnp01510943,True,
cnp01088897,True,
cnp02334268,True,
cnp02154944,True,
cnp01320899,True,
cnp02211160,True,
cnp01879023,True,
cnp00385275,True,
cnp01019872,True,
cnp01231531,True,
cnp01877435,True,
cnp01088917,True,
cnp01351361,True,
cnp00476987,True,
cnp01983220,True,
cnp00479927,True,
cnp01347099,True,
cnp02239020,True,
cnp00942919,True,
cnp01876598,True,
cnp00871211,True,
cnp02235933,True,
cnp01884314,True,
cnp01402629,True,
cnp01231580,True,
cnp00069034,True,
cnp01226788,True,
cnp00467744,True,
cnp01986754,True,
cnp00590585,True,
cnp01255966,True,
cnp01322254,True,
cnp01875813,True,
cnp02171201,True,
cnp02230047,True,
cnp01391772,True,
cnp02108210,True,
cnp00950796,True,
cnp01231625,True,
cnp01329937,True,
cnp02168130,True,
cnp00459835,True,
cnp01282497,True,
cnp01471592,True,
cnp00139709,True,
cnp02156307,True,
cnp01409553,True,
cnp01003102,True,
cnp01930951,True,
cnp01367390,True,
cnp01330573,True,
cnp02299173,True,
cnp00355903,True,
cnp01325787,True,
cnp01115781,True,
cnp01024251,True,
cnp00579833,True,
cnp02121737,True,
cnp02162983,True,
cnp02157237,True,
cnp02140267,True,
cnp02140269,True,
cnp01347336,True,
cnp00813089,True,
cnp00102421,True,
cnp01904447,True,
cnp02208146,True,
cnp01329375,True,
cnp01231743,True,
cnp02229624,True,
cnp00965320,True,
cnp00503873,True,
cnp02158412,True,
cnp01391574,True,
cnp01349348,True,
cnp01231795,True,
cnp01371119,True,
cnp00146798,True,
cnp01437143,True,
cnp01372944,True,
cnp01231828,True,
cnp00127998,True,
cnp00571733,True,
cnp00636857,True,
cnp01345246,True,
cnp02011601,True,
cnp01277416,True,
cnp01919661,True,
cnp00661936,True,
cnp01207882,True,
cnp01207886,True,
cnp01347934,True,
cnp01002233,True,
cnp01416473,True,
cnp02062635,True,
cnp00390713,True,
cnp02126504,True,
cnp00990253,True,
cnp01267785,True,
cnp01231917,True,
cnp02044519,True,
cnp00581402,True,
cnp01345096,True,
cnp01146927,True,
cnp01340987,True,
cnp01355792,True,
cnp01345497,True,
cnp01316646,True,
cnp01350010,True,
cnp00833605,True,
cnp01427335,True,
cnp00390726,True,
cnp01089604,True,
cnp01919663,True,
cnp02159154,True,
cnp00976859,True,
cnp01316674,True,
cnp01382351,True,
cnp01329438,True,
cnp01355494,True,
cnp02054345,True,
cnp00343317,True,
cnp02211874,True,
cnp00605131,True,
cnp01089747,True,
cnp02136292,True,
cnp01919666,True,
cnp02190631,True,
cnp01347493,True,
cnp01380775,True,
cnp01879402,True,
cnp01232011,True,
cnp00596309,True,
cnp01337269,True,
cnp00601122,True,
cnp01303323,True,
cnp00066999,True,
cnp01351334,True,
cnp01313334,True,
cnp00474060,True,
cnp01025752,True,
cnp00632356,True,
cnp02266964,True,
cnp02309174,True,
cnp01303321,True,
cnp01290866,True,
cnp02108581,True,
cnp01323465,True,
cnp02210013,True,
cnp01392357,True,
cnp00383278,True,
cnp02156711,True,
cnp00103149,True,
cnp01283048,True,
cnp01094218,True,
cnp00375250,True,
cnp02088587,True,
cnp01404977,True,
cnp01162817,True,
cnp01049147,True,
cnp01378567,True,
cnp01335016,True,
cnp01335019,True,
cnp01335017,True,
cnp01005224,True,
cnp01905351,True,
cnp00357110,True,
cnp01347930,True,
cnp01330272,True,
cnp01982998,True,
cnp01381608,True,
cnp01159778,True,
cnp01345814,True,
cnp00986100,True,
cnp01285149,True,
cnp02105686,True,
cnp01919651,True,
cnp01319857,True,
cnp00394377,True,
cnp01340575,True,
cnp02142121,True,
cnp01036393,True,
cnp01344682,True,
cnp01361113,True,
cnp01309925,True,
cnp01316739,True,
cnp00442389,True,
cnp02162989,True,
cnp01303545,True,
cnp01919680,True,
cnp01919681,True,
cnp02115701,True,
cnp02249951,True,
cnp01905929,True,
cnp00363271,True,
cnp01331039,True,
cnp01117899,True,
cnp01901801,True,
cnp00421509,True,
cnp01471142,True,
cnp01356171,True,
cnp00446971,True,
cnp01427068,True,
cnp01329339,True,
cnp00439134,True,
cnp01019087,True,
cnp00401828,True,
cnp00484517,True,
cnp01405039,True,
cnp00103927,True,
cnp00152466,True,
cnp01320282,True,
cnp02235964,True,
cnp01395468,True,
cnp02097985,True,
cnp01339954,True,
cnp00103807,True,
cnp01341055,True,
cnp01045927,True,
cnp01437248,True,
cnp01396025,True,
cnp00364445,True,
cnp01399888,True,
cnp00920806,True,
cnp02222256,True,
cnp01443317,True,
cnp02116159,True,
cnp01328226,True,
cnp00416288,True,
cnp01399256,True,
cnp00950559,True,
cnp00464096,True,
cnp00390888,True,
cnp01372869,True,
cnp01166090,True,
cnp01481978,True,
cnp00589975,True,
cnp02313756,True,
cnp00405760,True,
cnp00114930,True,
cnp01351342,True,
cnp00634712,True,
cnp00496395,True,
cnp00602519,True,
cnp02056865,True,
cnp00368745,True,
cnp01232761,True,
cnp01879549,True,
cnp01352300,True,
cnp02211059,True,
cnp02156073,True,
cnp00546191,True,
cnp01379109,True,
cnp00368790,True,
cnp00401645,True,
cnp02209689,True,
cnp01382948,True,
cnp02148895,True,
cnp00446356,True,
cnp01355990,True,
cnp02294409,True,
cnp01381616,True,
cnp02334388,True,
cnp01016067,True,
cnp00424957,True,
cnp01114322,True,
cnp00157873,True,
cnp00626414,True,
cnp01362737,True,
cnp01345049,True,
cnp00985836,True,
cnp01341546,True,
cnp00951342,True,
cnp01879656,True,
cnp02213004,True,
cnp01091385,True,
cnp02064528,True,
cnp01026836,True,
cnp02010101,True,
cnp01358480,True,
cnp01310208,True,
cnp02210701,True,
cnp01307036,True,
cnp01481137,True,
cnp01399899,True,
cnp01469470,True,
cnp01896735,True,
cnp02329782,True,
cnp01100237,True,
cnp00599798,True,
cnp02092984,True,
cnp01900808,True,
cnp00975305,True,
cnp02201190,True,
cnp02213023,True,
cnp02119488,True,
cnp02172704,True,
cnp00393230,True,
cnp00386587,True,
cnp02162992,True,
cnp01386031,True,
cnp02147480,True,
cnp01352662,True,
cnp00322373,True,
cnp02142166,True,
cnp01341135,True,
cnp01362489,True,
cnp01956890,True,
cnp01891255,True,
cnp01022438,True,
cnp01233064,True,
cnp01273499,True,
cnp01406189,True,
cnp01355845,True,
cnp01976830,True,
cnp01939374,True,
cnp00799204,True,
cnp01428444,True,
cnp02213670,True,
cnp01167073,True,
cnp02140495,True,
cnp01301986,True,
cnp00951193,True,
cnp01316875,True,
cnp01333723,True,
cnp00488336,True,
cnp01919684,True,
cnp01919685,True,
cnp00294061,True,
cnp00457000,True,
cnp02104569,True,
cnp01370536,True,
cnp02165731,True,
cnp01352888,True,
cnp01879907,True,
cnp01273011,True,
cnp01338632,True,
cnp01342652,True,
cnp01015198,True,
cnp00301158,True,
cnp00129678,True,
cnp02015465,True,
cnp01906759,True,
cnp01956097,True,
cnp01875140,True,
cnp00403978,True,
cnp01391964,True,
cnp01233195,True,
cnp02096764,True,
cnp01337891,True,
cnp01364958,True,
cnp01316895,True,
cnp00995314,True,
cnp00689646,True,
cnp00950892,True,
cnp01879181,True,
cnp00967202,True,
cnp01003527,True,
cnp02101603,True,
cnp01233301,True,
cnp01118781,True,
cnp00105238,True,
cnp00984629,True,
cnp02145707,True,
cnp00467311,True,
cnp01365670,True,
cnp02128621,True,
cnp01427020,True,
cnp02101590,True,
cnp01875338,True,
cnp02104822,True,
cnp02244185,True,
cnp01341139,True,
cnp01091170,True,
cnp01316924,True,
cnp02104967,True,
cnp01345792,True,
cnp00105475,True,
cnp00342034,True,
cnp00477341,True,
cnp01387988,True,
cnp01006233,True,
cnp00387315,True,
cnp01118997,True,
cnp01099559,True,
cnp01233501,True,
cnp00994810,True,
cnp01233522,True,
cnp01309947,True,
cnp01007695,True,
cnp01953938,True,
cnp01321930,True,
cnp01875828,True,
cnp02188516,True,
cnp00482820,True,
cnp01877518,True,
cnp01340084,True,
cnp01406339,True,
cnp00508735,True,
cnp00975095,True,
cnp01919691,True,
cnp01919690,True,
cnp00969493,True,
cnp00629022,True,
cnp01330199,True,
cnp00387502,True,
cnp01321618,True,
cnp01470260,True,
cnp02314861,True,
cnp01328025,True,
cnp01037256,True,
cnp01355346,True,
cnp02163000,True,
cnp01447325,True,
cnp01324483,True,
cnp01919686,True,
cnp01304941,True,
cnp01939693,True,
cnp01143707,True,
cnp01919694,True,
cnp01368065,True,
cnp01233645,True,
cnp01311691,True,
cnp00874821,True,
cnp00077192,True,
cnp00551192,True,
cnp00507511,True,
cnp00476702,True,
cnp00862739,True,
cnp01327594,True,
cnp02107692,True,
cnp01409038,True,
cnp01089569,True,
cnp00392007,True,
cnp02149411,True,
cnp01326682,True,
cnp01359807,True,
cnp01355841,True,
cnp02101571,True,
cnp01332848,True,
cnp01303023,True,
cnp00105837,True,
cnp01877782,True,
cnp00951011,True,
cnp00105985,True,
cnp00984096,True,
cnp01304917,True,
cnp02143815,True,
cnp01335792,True,
cnp00070130,True,
cnp02113765,True,
cnp01233776,True,
cnp02265415,True,
cnp01391728,True,
cnp01327508,True,
cnp01395469,True,
cnp01335791,True,
cnp01391856,True,
cnp01165386,True,
cnp01345100,True,
cnp01329740,True,
cnp00921622,True,
cnp01339772,True,
cnp00405665,True,
cnp00389783,True,
cnp01317013,True,
cnp01921111,True,
cnp01331399,True,
cnp00106298,True,
cnp00466193,True,
cnp00589927,True,
cnp01389779,True,
cnp01990435,True,
cnp01875685,True,
cnp00141913,True,
cnp00951141,True,
cnp01379493,True,
cnp00994210,True,
cnp01416537,True,
cnp00469354,True,
cnp02140516,True,
cnp01314852,True,
cnp01076254,True,
cnp00420870,True,
cnp01234007,True,
cnp01142873,True,
cnp02218266,True,
cnp01363122,True,
cnp00613664,True,
cnp01327945,True,
cnp00401686,True,
cnp01914406,True,
cnp01325571,True,
cnp02125792,True,
cnp00382785,True,
cnp00063634,True,
cnp00414862,True,
cnp00021851,True,
cnp01329659,True,
cnp01877766,True,
cnp00014570,True,
cnp01234100,True,
cnp01355708,True,
cnp01443388,True,
cnp02308630,True,
cnp01345514,True,
cnp00992364,True,
cnp02221348,True,
cnp01976887,True,
cnp02153688,True,
cnp02163003,True,
cnp01345617,True,
cnp02184867,True,
cnp02067153,True,
cnp02190961,True,
cnp00631593,True,
cnp01056939,True,
cnp02176412,True,
cnp00346666,True,
cnp01349773,True,
cnp00485444,True,
cnp02230350,True,
cnp01878355,True,
cnp00359978,True,
cnp00449716,True,
cnp00557114,True,
cnp01317063,True,
cnp01234157,True,
cnp00455882,True,
cnp01165900,True,
cnp01159238,True,
cnp00507276,True,
cnp02091221,True,
cnp00371858,True,
cnp00386117,True,
cnp00619870,True,
cnp00649719,True,
cnp01146658,True,
cnp00452326,True,
cnp01128300,True,
cnp01440125,True,
cnp02288180,True,
cnp00567716,True,
cnp01443130,True,
cnp00289724,True,
cnp02127516,True,
cnp02155359,True,
cnp01031155,True,
cnp00169282,True,
cnp00872727,True,
cnp00954353,True,
cnp01921159,True,
cnp01437115,True,
cnp00406344,True,
cnp01120346,True,
cnp00447681,True,
cnp02265294,True,
cnp01120341,True,
cnp01064805,True,
cnp00354610,True,
cnp01327095,True,
cnp02163012,True,
cnp01919703,True,
cnp00289676,True,
cnp00966283,True,
cnp01093384,True,
cnp00886194,True,
cnp01229337,True,
cnp01389635,True,
cnp01161046,True,
cnp00466008,True,
cnp00402391,True,
cnp01140551,True,
cnp01154835,True,
cnp02163019,True,
cnp00350996,True,
cnp01363171,True,
cnp01427572,True,
cnp02163020,True,
cnp01919706,True,
cnp00976839,True,
cnp01026086,True,
cnp01310501,True,
cnp01048978,True,
cnp02159196,True,
cnp01919710,True,
cnp01078149,True,
cnp02069815,True,
cnp01131796,True,
cnp02142085,True,
cnp01313448,True,
cnp01389852,True,
cnp00461448,True,
cnp00122187,True,
cnp00380320,True,
cnp01878955,True,
cnp01106362,True,
cnp00635579,True,
cnp00888506,True,
cnp02063829,True,
cnp01379874,True,
cnp01353353,True,
cnp01234345,True,
cnp00436120,True,
cnp01324750,True,
cnp00345796,True,
cnp00394712,True,
cnp01373058,True,
cnp01475871,True,
cnp01152626,True,
cnp01152627,True,
cnp01486719,True,
cnp01288351,True,
cnp02329912,True,
cnp00386311,True,
cnp01366106,True,
cnp01234438,True,
cnp02232803,True,
cnp01259828,True,
cnp02143817,True,
cnp01317184,True,
cnp01875467,True,
cnp00967217,True,
cnp00966200,True,
cnp01341529,True,
cnp01044456,True,
cnp01330053,True,
cnp02179557,True,
cnp01875767,True,
cnp00683430,True,
cnp01391847,True,
cnp00347201,True,
cnp00418166,True,
cnp02143831,True,
cnp00891166,True,
cnp00386604,True,
cnp01330261,True,
cnp01881119,True,
cnp01100371,True,
cnp01317199,True,
cnp01919713,True,
cnp01121159,True,
cnp01919714,True,
cnp00024722,True,
cnp01079978,True,
cnp00449538,True,
cnp01913362,True,
cnp01373458,True,
cnp01445470,True,
cnp01384429,True,
cnp01256388,True,
cnp00696149,True,
cnp01387069,True,
cnp01337382,True,
cnp01919715,True,
cnp00513633,True,
cnp02140656,True,
cnp01879530,True,
cnp02225656,True,
cnp02163025,True,
cnp01438995,True,
cnp01392199,True,
cnp01381308,True,
cnp01361826,True,
cnp01137643,True,
cnp01882800,True,
cnp00904332,True,
cnp01339021,True,
cnp01919716,True,
cnp01271560,True,
cnp01340415,True,
cnp01234788,True,
cnp00874377,True,
cnp01876860,True,
cnp01397652,True,
cnp01302722,True,
cnp01234831,True,
cnp00873006,True,
cnp02157863,True,
cnp01919717,True,
cnp01919718,True,
cnp01121437,True,
cnp02156723,True,
cnp01328195,True,
cnp01234874,True,
cnp01919720,True,
cnp00081875,True,
cnp00597147,True,
cnp00473239,True,
cnp01121535,True,
cnp01919724,True,
cnp00504577,True,
cnp01919726,True,
cnp02242789,True,
cnp01919727,True,
cnp00602724,True,
cnp01366166,True,
cnp01234891,True,
cnp02150587,True,
cnp01071230,True,
cnp02163030,True,
cnp01878057,True,
cnp01056140,True,
cnp00387676,True,
cnp01339506,True,
cnp01377125,True,
cnp00435352,True,
cnp01919734,True,
cnp02163034,True,
cnp01340685,True,
cnp01879545,True,
cnp01305420,True,
cnp00416575,True,
cnp02085815,True,
cnp02207805,True,
cnp00650609,True,
cnp01344806,True,
cnp02239623,True,
cnp01919732,True,
cnp01919733,True,
cnp02163032,True,
cnp01121780,True,
cnp00453326,True,
cnp01409807,True,
cnp01011351,True,
cnp01326084,True,
cnp01012117,True,
cnp02094405,True,
cnp02198151,True,
cnp01012120,True,
cnp01082343,True,
cnp00950867,True,
cnp00474052,True,
cnp01283791,True,
cnp00994873,True,
cnp01294650,True,
cnp01440545,True,
cnp02163024,True,
cnp01919735,True,
cnp00301902,True,
cnp02163035,True,
cnp01327950,True,
cnp01307139,True,
cnp00000493,True,
cnp01940714,True,
cnp00626415,True,
cnp00959213,True,
cnp02294974,True,
cnp00951038,True,
cnp01342319,True,
cnp00394836,True,
cnp01337141,True,
cnp02143832,True,
cnp00348578,True,
cnp00508265,True,
cnp01880451,True,
cnp01321458,True,
cnp01235067,True,
cnp01307147,True,
cnp02085023,True,
cnp01919740,True,
cnp00926203,True,
cnp00484646,True,
cnp01378476,True,
cnp02006086,True,
cnp01122000,True,
cnp01956703,True,
cnp01056832,True,
cnp01050080,True,
cnp02068648,True,
cnp01880217,True,
cnp01322095,True,
cnp01877605,True,
cnp01327525,True,
cnp01350160,True,
cnp00386421,True,
cnp02163036,True,
cnp01880527,True,
cnp01341438,True,
cnp00805605,True,
cnp01330172,True,
cnp01363268,True,
cnp02163037,True,
cnp00974393,True,
cnp01375132,True,
cnp00877221,True,
cnp00164217,True,
cnp00566299,True,
cnp00486782,True,
cnp01442371,True,
cnp02234984,True,
cnp02163040,True,
cnp01876979,True,
cnp01340100,True,
cnp02205996,True,
cnp01329409,True,
cnp02168112,True,
cnp01880057,True,
cnp00551683,True,
cnp01345184,True,
cnp00940854,True,
cnp00981965,True,
cnp00617980,True,
cnp00545294,True,
cnp01360524,True,
cnp01235234,True,
cnp01287286,True,
cnp00468695,True,
cnp02103244,True,
cnp00412032,True,
cnp01363143,True,
cnp01884758,True,
cnp01876433,True,
cnp01391905,True,
cnp00985123,True,
cnp02149876,True,
cnp02163042,True,
cnp01390741,True,
cnp00977148,True,
cnp01393325,True,
cnp02140629,True,
cnp00467741,True,
cnp01325603,True,
cnp01905866,True,
cnp01161218,True,
cnp02230529,True,
cnp01235486,True,
cnp00000495,True,
cnp01934153,True,
cnp00962758,True,
cnp01050806,True,
cnp02335219,True,
cnp00439528,True,
cnp02055530,True,
cnp01941310,True,
cnp01328010,True,
cnp02163844,True,
cnp01401125,True,
cnp01235536,True,
cnp02229679,True,
cnp00398351,True,
cnp01470045,True,
cnp01919746,True,
cnp01919747,True,
cnp01919748,True,
cnp01919749,True,
cnp01338526,True,
cnp01031516,True,
cnp00989107,True,
cnp00018304,True,
cnp01929452,True,
cnp00018305,True,
cnp01882880,True,
cnp01363533,True,
cnp02163045,True,
cnp00951195,True,
cnp01919751,True,
cnp02103363,True,
cnp01341195,True,
cnp01919755,True,
cnp02137514,True,
cnp01399879,True,
cnp01919756,True,
cnp01221500,True,
cnp02113098,True,
cnp01302340,True,
cnp00106359,True,
cnp01062619,True,
cnp01975436,True,
cnp01327704,True,
cnp01326948,True,
cnp01350371,True,
cnp01329516,True,
cnp00063027,True,
cnp01331171,True,
cnp00026430,True,
cnp01356591,True,
cnp00611867,True,
cnp01344826,True,
cnp02220453,True,
cnp01875706,True,
cnp00485442,True,
cnp01311587,True,
cnp00950513,True,
cnp01298025,True,
cnp01483154,True,
cnp02140703,True,
cnp00959838,True,
cnp00985092,True,
cnp01904787,True,
cnp02181704,True,
cnp02213909,True,
cnp01919762,True,
cnp00824711,True,
cnp01919763,True,
cnp02161076,True,
cnp01919764,True,
cnp02163051,True,
cnp01059696,True,
cnp01330865,True,
cnp01439060,True,
cnp00950594,True,
cnp01321800,True,
cnp02163052,True,
cnp00398396,True,
cnp01919767,True,
cnp01150474,True,
cnp01353332,True,
cnp00068283,True,
cnp01440456,True,
cnp01405029,True,
cnp02338691,True,
cnp01407758,True,
cnp00390440,True,
cnp00494399,True,
cnp01377073,True,
cnp01311590,True,
cnp01914675,True,
cnp01303858,True,
cnp02197006,True,
cnp01130536,True,
cnp01329805,True,
cnp01346363,True,
cnp01919772,True,
cnp00462206,True,
cnp00632803,True,
cnp00944119,True,
cnp01035062,True,
cnp02154894,True,
cnp00463825,True,
cnp01919738,True,
cnp00529114,True,
cnp01919745,True,
cnp01919769,True,
cnp01272246,True,
cnp01919770,True,
cnp01919771,True,
cnp01978120,True,
cnp01469731,True,
cnp02216669,True,
cnp01158068,True,
cnp01132050,True,
cnp00416849,True,
cnp02004946,True,
cnp02238866,True,
cnp00878724,True,
cnp00362660,True,
cnp01382581,True,
cnp00422532,True,
cnp01919775,True,
cnp00594617,True,
cnp00930944,True,
cnp00423352,True,
cnp01095548,True,
cnp02163058,True,
cnp01031577,True,
cnp01919777,True,
cnp01337555,True,
cnp01018887,True,
cnp00420471,True,
cnp02153277,True,
cnp01919778,True,
cnp02242965,True,
cnp02163061,True,
cnp01033546,True,
cnp01165435,True,
cnp00398860,True,
cnp00815402,True,
cnp00358735,True,
cnp00627221,True,
cnp00438816,True,
cnp01227148,True,
cnp02223800,True,
cnp00978781,True,
cnp01326748,True,
cnp00487763,True,
cnp01326367,True,
cnp00574131,True,
cnp01334336,True,
cnp01343086,True,
cnp00954337,True,
cnp02268384,True,
cnp02009399,True,
cnp00908308,True,
cnp01919785,True,
cnp00441329,True,
cnp01875724,True,
cnp00404027,True,
cnp01358327,True,
cnp01167131,True,
cnp01358501,True,
cnp01876369,True,
cnp01441824,True,
cnp00395061,True,
cnp01341392,True,
cnp01299242,True,
cnp00421828,True,
cnp00453433,True,
cnp01919786,True,
cnp01131414,True,
cnp01281539,True,
cnp01014101,True,
cnp01323668,True,
cnp00148357,True,
cnp00406843,True,
cnp00506412,True,
cnp00978136,True,
cnp00908508,True,
cnp01124424,True,
cnp00387057,True,
cnp02039623,True,
cnp00415435,True,
cnp02144619,True,
cnp01411784,True,
cnp00944072,True,
cnp00387153,True,
cnp00352248,True,
cnp01303529,True,
cnp02317476,True,
cnp01919797,True,
cnp02206734,True,
cnp01919798,True,
cnp01124039,True,
cnp00552352,True,
cnp01919799,True,
cnp02185853,True,
cnp01374567,True,
cnp01126455,True,
cnp01271717,True,
cnp01167338,True,
cnp01087627,True,
cnp01919800,True,
cnp02163068,True,
cnp00444503,True,
cnp01919802,True,
cnp01337942,True,
cnp01124245,True,
cnp01919805,True,
cnp01943537,True,
cnp00953873,True,
cnp02105430,True,
cnp01053930,True,
cnp00415445,True,
cnp01397344,True,
cnp02231369,True,
cnp01919806,True,
cnp02262033,True,
cnp01124398,True,
cnp01124399,True,
cnp02145178,True,
cnp02241313,True,
cnp01093464,True,
cnp01325201,True,
cnp02063737,True,
cnp01331532,True,
cnp01919809,True,
cnp02318136,True,
cnp01256861,True,
cnp00391433,True,
cnp01919812,True,
cnp00122851,True,
cnp01163888,True,
cnp01919813,True,
cnp01919814,True,
cnp01919817,True,
cnp00506366,True,
cnp00623575,True,
cnp00457477,True,
cnp01124562,True,
cnp01876067,True,
cnp00028004,True,
cnp00985211,True,
cnp00909943,True,
cnp00808662,True,
cnp00833377,True,
cnp00479519,True,
cnp00950311,True,
cnp01364670,True,
cnp01124707,True,
cnp00475918,True,
cnp02111353,True,
cnp01919821,True,
cnp00976318,True,
cnp02163070,True,
cnp00463527,True,
cnp00123061,True,
cnp00526372,True,
cnp00293121,True,
cnp02163071,True,
