file,result,error
cnl00009361,True,
cnl00014913,True,
cnl00006399,True,
cnl00006119,True,
cnl00007816,True,
cnl00016242,True,
cnl00013263,True,
cnl00023979,True,
cnl00031030,True,
cnl00006821,True,
cnl00009997,True,
cnl00009985,True,
cnl00008290,True,
cnl00027108,True,
cnl00029578,True,
cnl00015955,True,
cnl00016163,True,
cnl00006161,True,
cnl00009950,True,
cnl00006642,True,
cnl00033401,True,
cnl00016096,True,
cnl00029116,True,
cnl00018603,True,
cnl00009642,True,
cnl00016128,True,
cnl00006209,True,
cnl00029123,True,
cnl00028839,True,
cnl00006364,True,
cnl00008692,True,
cnl00013213,True,
cnl00016009,True,
cnl00015564,True,
cnl00003307,True,
cnl00014894,True,
cnl00002783,True,
cnl00037264,True,
cnl00016168,True,
cnl00028999,True,
cnl00006875,True,
cnl00032963,True,
cnl00014034,True,
cnl00006272,True,
cnl00006866,True,
cnl00039121,True,
cnl00016078,True,
cnl00027002,True,
cnl00017474,True,
cnl00016424,True,
cnl00032587,True,
cnl00008044,True,
cnl00027154,True,
cnl00010359,True,
cnl00016264,True,
cnl00019165,True,
cnl00033404,True,
cnl00033403,True,
cnl00016022,True,
cnl00029460,True,
cnl00016013,True,
cnl00012658,True,
cnl00010866,True,
cnl00006176,True,
cnl00016097,True,
cnl00011083,True,
cnl00014526,True,
cnl00026812,True,
cnl00032962,True,
cnl00018297,True,
cnl00031405,True,
cnl00011508,True,
cnl00016230,True,
cnl00007360,True,
cnl00034990,True,
cnl00039939,True,
cnl00006949,True,
cnl00031002,True,
cnl00009005,True,
cnl00010282,True,
cnl00016122,True,
cnl00015349,True,
cnl00017011,True,
cnl00012958,True,
cnl00027020,True,
cnl00016225,True,
cnl00006805,True,
cnl00033301,True,
cnl00017262,True,
cnl00010249,True,
cnl00016108,True,
cnl00013407,True,
cnl00033586,True,
cnl00024835,True,
cnl00011162,True,
cnl00022392,True,
cnl00009586,True,
cnl00010623,True,
cnl00011235,True,
cnl00016260,True,
cnl00023316,True,
cnl00006250,True,
cnl00008073,True,
cnl00016199,True,
cnl00027007,True,
cnl00015989,True,
cnl00026998,True,
cnl00007630,True,
cnl00033726,True,
cnl00027772,True,
cnl00014831,True,
cnl00006764,True,
cnl00020317,True,
cnl00025641,True,
cnl00001822,True,
cnl00016548,True,
cnl00004028,True,
cnl00036349,True,
cnl00010409,True,
cnl00006350,True,
cnl00027019,True,
cnl00029122,True,
cnl00032896,True,
cnl00031746,True,
cnl00016031,True,
cnl00012891,True,
cnl00013170,True,
cnl00008298,True,
cnl00033308,True,
cnl00033007,True,
cnl00006586,True,
cnl00017694,True,
cnl00014531,True,
cnl00006169,True,
cnl00027178,True,
cnl00013372,True,
cnl00010983,True,
cnl00011383,True,
cnl00012045,True,
cnl00008216,True,
cnl00033405,True,
cnl00028482,True,
cnl00027430,True,
cnl00030740,True,
cnl00006964,True,
cnl00017101,True,
cnl00007515,True,
cnl00008757,True,
cnl00016938,True,
cnl00006277,True,
cnl00031148,True,
cnl00010970,True,
cnl00008996,True,
cnl00017007,True,
cnl00009303,True,
cnl00018681,True,
cnl00023726,True,
cnl00008157,True,
cnl00017267,True,
cnl00006333,True,
cnl00017144,True,
cnl00020198,True,
cnl00013610,True,
cnl00015124,True,
cnl00009211,True,
cnl00028298,True,
cnl00030822,True,
cnl00031387,True,
cnl00016323,True,
cnl00024080,True,
cnl00012616,True,
cnl00027151,True,
cnl00002826,True,
cnl00006281,True,
cnl00006419,True,
cnl00012372,True,
cnl00029990,True,
cnl00007135,True,
cnl00032788,True,
cnl00033463,True,
cnl00016132,True,
cnl00020709,True,
cnl00008767,True,
cnl00013405,True,
cnl00020657,True,
cnl00017069,True,
cnl00027177,True,
cnl00006089,True,
cnl00008016,True,
cnl00012864,True,
cnl00032005,True,
cnl00031757,True,
cnl00017083,True,
cnl00027008,True,
cnl00017004,True,
cnl00027166,True,
cnl00027009,True,
cnl00016270,True,
cnl00029193,True,
cnl00035342,True,
cnl00032319,True,
cnl00016232,True,
cnl00000903,True,
cnl00007136,True,
cnl00031254,True,
cnl00018488,True,
cnl00021001,True,
