year	number
1400	6
1401	1
1428	1
1429	1
1440	2
1445	1
1450	2
1451	1
1452	4
1453	2
1454	3
1455	4
1456	4
1457	4
1458	3
1459	3
1460	13
1461	2
1462	3
1463	4
1464	1
1465	4
1466	2
1467	6
1468	4
1469	3
1470	13
1471	3
1472	4
1473	3
1474	1
1475	6
1476	4
1477	3
1478	4
1479	2
1480	12
1481	3
1482	1
1485	4
1486	1
1487	7
1488	9
1489	5
1490	13
1491	2
1492	6
1493	4
1494	6
1495	2
1496	2
1497	3
1498	4
1499	9
1500	102
1501	6
1502	8
1503	5
1504	6
1505	7
1506	2
1507	3
1508	5
1509	4
1510	21
1511	8
1512	2
1513	5
1514	6
1515	8
1516	6
1517	4
1518	3
1519	6
1520	13
1521	6
1522	5
1523	10
1524	7
1525	11
1526	12
1527	10
1528	7
1529	13
1530	19
1531	13
1532	10
1533	10
1534	4
1535	11
1536	11
1537	8
1538	10
1539	9
1540	21
1541	7
1542	5
1543	4
1544	13
1545	7
1546	14
1547	10
1548	10
1549	6
1550	17
1551	10
1552	9
1553	10
1554	6
1555	10
1556	6
1557	7
1558	12
1559	7
1560	12
1561	16
1562	11
1563	8
1564	17
1565	19
1566	8
1567	5
1568	6
1569	11
1570	19
1571	23
1572	12
1573	6
1574	8
1575	14
1576	12
1577	11
1578	10
1579	3
1580	29
1581	11
1582	15
1583	9
1584	10
1585	14
1586	14
1587	14
1588	20
1589	4
1590	18
1591	14
1592	12
1593	8
1594	8
1595	16
1596	17
1597	18
1598	17
1599	10
1600	92
1601	15
1602	24
1603	15
1604	10
1605	4
1606	5
1607	13
1608	7
1609	3
1610	21
1611	10
1612	8
1613	10
1614	11
1615	10
1616	14
1617	16
1618	13
1619	10
1620	20
1621	9
1622	17
1623	17
1624	7
1625	14
1626	13
1627	9
1628	8
1629	7
1630	22
1631	10
1632	10
1633	21
1634	6
1635	15
1636	9
1637	8
1638	12
1639	12
1640	21
1641	5
1642	12
1643	13
1644	13
1645	16
1646	11
1647	8
1648	16
1649	11
1650	21
1651	12
1652	17
1653	7
1654	14
1655	16
1656	17
1657	11
1658	8
1659	6
1660	16
1661	12
1662	8
1663	15
1664	7
1665	9
1666	15
1667	25
1668	3
1669	13
1670	15
1671	12
1672	15
1673	11
1674	11
1675	19
1676	15
1677	15
1678	14
1679	13
1680	15
1681	11
1682	11
1683	12
1684	7
1685	15
1686	7
1687	9
1688	13
1689	9
1690	11
1691	13
1692	11
1693	15
1694	8
1695	13
1696	16
1697	12
1698	15
1699	10
1700	8
1701	8
1702	11
1703	8
1704	15
1705	3
1706	5
1707	12
1708	4
1709	5
1710	6
1711	2
1712	4
1713	8
1714	10
1715	6
1716	2
1717	2
1718	3
1719	1
1720	2
1721	1
1722	3
1723	7
1724	3
1725	2
1726	2
1727	1
1728	1
1730	1
1735	1
1738	1
1745	1
1761	1
1769	1
1775	1
