subject	coded_activity	year
http://thesaurus.cerl.org/record/cnp02088071	Astrology	1400
http://thesaurus.cerl.org/record/cnp01236908	Astronomy	1400
http://thesaurus.cerl.org/record/cnp01324483	Astronomy	1400
http://thesaurus.cerl.org/record/cnp01402629	Astronomy	1400
http://thesaurus.cerl.org/record/cnp01402629	Mathematics	1400
http://thesaurus.cerl.org/record/cnp02211874	Mathematics	1400
http://thesaurus.cerl.org/record/cnp01236908	Mathematics	1400
http://thesaurus.cerl.org/record/cnp02088071	Mathematics	1400
http://thesaurus.cerl.org/record/cnp02088071	Philosophy	1400
http://thesaurus.cerl.org/record/cnp01881207	Mathematics	1401
http://thesaurus.cerl.org/record/cnp01881207	Philosophy	1401
http://thesaurus.cerl.org/record/cnp01881207	Theology	1401
http://thesaurus.cerl.org/record/cnp01879247	Mathematics	1428
http://thesaurus.cerl.org/record/cnp00167512	Mathematics	1429
http://thesaurus.cerl.org/record/cnp01393631	Astrology	1440
http://thesaurus.cerl.org/record/cnp01393631	Mathematics	1440
http://thesaurus.cerl.org/record/cnp01108869	Physics	1440
http://thesaurus.cerl.org/record/cnp01108869	Theology	1440
http://thesaurus.cerl.org/record/cnp01393631	Theology	1440
http://thesaurus.cerl.org/record/cnp00996213	Astrology	1445
http://thesaurus.cerl.org/record/cnp00996213	Mathematics	1445
http://thesaurus.cerl.org/record/cnp01320054	Astronomy	1450
http://thesaurus.cerl.org/record/cnp01320054	Astronomy	1452
http://thesaurus.cerl.org/record/cnp01879501	Astronomy	1452
http://thesaurus.cerl.org/record/cnp01879501	Mathematics	1452
http://thesaurus.cerl.org/record/cnp01329886	Mathematics	1453
http://thesaurus.cerl.org/record/cnp01329886	Philosophy	1453
http://thesaurus.cerl.org/record/cnp01894512	Astronomy	1454
http://thesaurus.cerl.org/record/cnp01329886	Mathematics	1454
http://thesaurus.cerl.org/record/cnp01363122	Mathematics	1454
http://thesaurus.cerl.org/record/cnp01894512	Mathematics	1454
http://thesaurus.cerl.org/record/cnp01329886	Philosophy	1454
http://thesaurus.cerl.org/record/cnp01363122	Philosophy	1454
http://thesaurus.cerl.org/record/cnp01363122	Theology	1454
http://thesaurus.cerl.org/record/cnp00350996	Astrology	1455
http://thesaurus.cerl.org/record/cnp00996213	Astrology	1455
http://thesaurus.cerl.org/record/cnp00350996	Astronomy	1455
http://thesaurus.cerl.org/record/cnp00996213	Mathematics	1455
http://thesaurus.cerl.org/record/cnp00350996	Mathematics	1455
http://thesaurus.cerl.org/record/cnp00350996	Theology	1455
http://thesaurus.cerl.org/record/cnp01363122	Mathematics	1456
http://thesaurus.cerl.org/record/cnp01879247	Mathematics	1456
http://thesaurus.cerl.org/record/cnp01363122	Philosophy	1456
http://thesaurus.cerl.org/record/cnp01363122	Theology	1456
http://thesaurus.cerl.org/record/cnp01878521	Astrology	1457
http://thesaurus.cerl.org/record/cnp01329886	Mathematics	1457
http://thesaurus.cerl.org/record/cnp01878521	Mathematics	1457
http://thesaurus.cerl.org/record/cnp01329886	Philosophy	1457
http://thesaurus.cerl.org/record/cnp01393631	Astrology	1458
http://thesaurus.cerl.org/record/cnp01393631	Mathematics	1458
http://thesaurus.cerl.org/record/cnp01393631	Theology	1458
http://thesaurus.cerl.org/record/cnp00397446	Mathematics	1459
http://thesaurus.cerl.org/record/cnp01368034	Philosophy	1459
http://thesaurus.cerl.org/record/cnp00439621	Astronomy	1460
http://thesaurus.cerl.org/record/cnp01875735	Astronomy	1460
http://thesaurus.cerl.org/record/cnp00439621	Mathematics	1460
http://thesaurus.cerl.org/record/cnp00888506	Mathematics	1460
http://thesaurus.cerl.org/record/cnp01115869	Mathematics	1460
http://thesaurus.cerl.org/record/cnp02327131	Mathematics	1460
http://thesaurus.cerl.org/record/cnp00888506	Philosophy	1460
http://thesaurus.cerl.org/record/cnp01335792	Philosophy	1460
http://thesaurus.cerl.org/record/cnp01362970	Philosophy	1460
http://thesaurus.cerl.org/record/cnp01335792	Physics	1460
http://thesaurus.cerl.org/record/cnp00888506	Theology	1460
http://thesaurus.cerl.org/record/cnp00402391	Astronomy	1462
http://thesaurus.cerl.org/record/cnp00402391	Mathematics	1462
http://thesaurus.cerl.org/record/cnp00950331	Mathematics	1462
http://thesaurus.cerl.org/record/cnp01876276	Astrology	1463
http://thesaurus.cerl.org/record/cnp00406344	Astronomy	1463
http://thesaurus.cerl.org/record/cnp01876276	Astronomy	1463
http://thesaurus.cerl.org/record/cnp00167512	Mathematics	1463
http://thesaurus.cerl.org/record/cnp01876276	Mathematics	1463
http://thesaurus.cerl.org/record/cnp01163542	Astronomy	1464
http://thesaurus.cerl.org/record/cnp00985842	Astrology	1465
http://thesaurus.cerl.org/record/cnp01236908	Astronomy	1465
http://thesaurus.cerl.org/record/cnp01236908	Mathematics	1465
http://thesaurus.cerl.org/record/cnp00985842	Mathematics	1465
http://thesaurus.cerl.org/record/cnp02088587	Theology	1465
http://thesaurus.cerl.org/record/cnp01114322	Astrology	1466
http://thesaurus.cerl.org/record/cnp01114322	Mathematics	1466
http://thesaurus.cerl.org/record/cnp02145697	Mathematics	1466
http://thesaurus.cerl.org/record/cnp00167924	Astrology	1467
http://thesaurus.cerl.org/record/cnp00287013	Astrology	1467
http://thesaurus.cerl.org/record/cnp01352888	Astrology	1467
http://thesaurus.cerl.org/record/cnp00100623	Astronomy	1467
http://thesaurus.cerl.org/record/cnp00167924	Mathematics	1467
http://thesaurus.cerl.org/record/cnp00287013	Mathematics	1467
http://thesaurus.cerl.org/record/cnp01352888	Mathematics	1467
http://thesaurus.cerl.org/record/cnp01362970	Philosophy	1467
http://thesaurus.cerl.org/record/cnp00287013	Physics	1467
http://thesaurus.cerl.org/record/cnp00100623	Theology	1467
http://thesaurus.cerl.org/record/cnp00167924	Theology	1467
http://thesaurus.cerl.org/record/cnp01879156	Astrology	1468
http://thesaurus.cerl.org/record/cnp00439621	Astronomy	1468
http://thesaurus.cerl.org/record/cnp01392374	Astronomy	1468
http://thesaurus.cerl.org/record/cnp01879156	Astronomy	1468
http://thesaurus.cerl.org/record/cnp00439621	Mathematics	1468
http://thesaurus.cerl.org/record/cnp01392374	Mathematics	1468
http://thesaurus.cerl.org/record/cnp01879156	Mathematics	1468
http://thesaurus.cerl.org/record/cnp00406068	Theology	1468
http://thesaurus.cerl.org/record/cnp01392374	Theology	1468
http://thesaurus.cerl.org/record/cnp01402629	Astronomy	1469
http://thesaurus.cerl.org/record/cnp01402629	Mathematics	1469
http://thesaurus.cerl.org/record/cnp00401828	Philosophy	1469
http://thesaurus.cerl.org/record/cnp00401828	Theology	1469
http://thesaurus.cerl.org/record/cnp01110002	Astrology	1470
http://thesaurus.cerl.org/record/cnp01172052	Astronomy	1470
