"token"|"freq"|"manual_code"
"Mathematiker"|478|"math"
"Astronom"|199|"astron"
"Arzt"|136|"med"
"Hochschullehrer"|107|"prof"
"Philosoph"|91|"philo"
"Physiker"|65|"phys"
"Theologe"|64|"theol"
"Schriftsteller"|56|"liter"
"Pfarrer"|51|"cleric"
"Jurist"|36|"juri"
"Kartograf"|35|"geo_carto"
"Evangelischer Theologe"|35|"theol"
"Historiker"|30|"histo"
"Naturwissenschaftler"|28|"scholar"
"Architekt"|28|"archi"
"Astrologe"|27|"astrol"
"Geograf"|27|"geo_carto"
"Lehrer"|26|"prof"
"Gymnasiallehrer"|24|"prof"
"Katholischer Theologe"|18|"theol"
"Philologe"|18|"anc_lang_philol"
"Ingenieur"|18|"inge"
"Humanist"|17|"huma"
"Rechenmeister"|16|
"Rektor"|15|
"Bibliothekar"|14|"book"
"Selbstverleger"|12|"book"
"Missionar"|12|"cleric"
"Maler"|11|"artist"
"Musiker"|11|"artist"
"Pädagoge"|11|"prof"
"Gelehrter"|10|"scholar"
"Geistlicher"|10|"cleric"
"Kupferstecher"|10|"artist"
"Superintendent"|10|
"Übersetzer"|9|
"Botaniker"|9|
"Prediger"|8|
"Adel"|8|
"Komponist"|8|
"Mönch"|7|
"Polyhistor"|7|
"Hebraist"|7|
"Bischof"|6|
"Drucker"|6|
"Reformator"|6|
"Schreibmeister"|6|
"Orientalist"|6|
"Mechaniker"|6|
"Ratsherr"|6|
"Priester"|6|
"Hofrat"|6|
"Politiker"|5|
"Diplomat"|5|
"Klassischer Philologe"|5|
"Künstler"|5|
"Baumeister"|5|
"Diakon"|5|
"Verleger"|5|
"Meteorologe"|5|
"Privatlehrer"|5|
"Autor"|4|
"Dramatiker"|4|
"Musikwissenschaftler"|4|
"Leibarzt"|4|
"Hofprediger"|4|
"Bürgermeister"|4|
"Dozent"|4|
"Zeichner"|3|
"Buchdrucker"|3|
"Alchemist"|3|
"Radierer"|3|
"Mathematiklehrer"|3|
"Kunsthandwerker"|3|
"Instrumentenbauer"|3|
"Forschungsreisender"|3|
"Topograf"|3|
"Buchhändler"|3|
"Organist"|3|
"Student"|3|
"Gräzist"|3|
"Vermessungsingenieur"|3|
"Laienbruder"|3|
"Logiker"|3|
"Festungsbaumeister"|3|
"Publizist"|3|
"Astronomin"|3|
"Kaufmann"|2|
"Seefahrer"|2|
"Feldherr"|2|
"Grafiker"|2|
"Kanoniker"|2|
"Domkapitular"|2|
"Magier"|2|
"Sammler"|2|
"Goldschmied"|2|
"Büchsenmacher"|2|
"Korrektor"|2|
"Medizinstudent"|2|
"Bildhauer"|2|
"Herausgeber"|2|
"Chronist"|2|
"Apotheker"|2|
"Geschichtsschreiber"|2|
"Chemiker"|2|
"Linguist"|2|
"Mineraloge"|2|
"Moraltheologe"|2|
"Sänger"|2|
"Archäologe"|2|
"Abt"|2|
"Ordenspriester"|2|
"Offizier"|2|
"Philosophin"|2|
"Zensor"|2|
"Konsistorialrat"|2|
"Librettist"|2|
"Kardinal"|1|
"Anglikanischer Theologe"|1|
"Seemann"|1|
"Entdecker"|1|
"Reisender"|1|
"Ritter"|1|
"Prior"|1|
"Barbier"|1|
"Naturphilosoph"|1|
"Uhrmacher"|1|
"Pfarrer (evangelisch)"|1|
"Formschneider"|1|
"Kämmerer"|1|
"Holzschneider"|1|
"Miniaturist"|1|
"Domprediger"|1|
"Kirchenlieddichter"|1|
"Literaturkritiker"|1|
"Kalligraph"|1|
"Hofbeamter"|1|
"Landsknecht"|1|
"Okkultist"|1|
"Glasmaler"|1|
"Abenteurer"|1|
"Doge"|1|
"Unitarier"|1|
"Anatom"|1|
"Notar"|1|
"Stadtschreiber"|1|
"Domvikar"|1|
"Kanalbauer"|1|
"Unternehmer"|1|
"Lexikograf"|1|
"Erzbischof"|1|
"Fürstbischof"|1|
"Zollbeamter"|1|
"Kantor"|1|
"Diktator"|1|
"Amtsarzt"|1|
"Philologie"|1|
"Admiral"|1|
"Mathematikstudent"|1|
"Kanzleibeamter"|1|
"Landgraf"|1|
"Buchhalter"|1|
"Buchbinder"|1|
"Übersetzer (von Sallust, Velleius Paterculus u. Tacitus)"|1|
"Verwaltungsbeamter"|1|
"Schöffe"|1|
"Stadtrat"|1|
"Rabbiner"|1|
"Bauherr"|1|
"Jesuaten"|1|
"Philosophielehrer"|1|
"Christlicher Schriftsteller"|1|
"Abgeordneter"|1|
"Staatssekretär"|1|
"Landschaftsmaler"|1|
"Marinemaler"|1|
"Respondent"|1|
"Sozinianer"|1|
"Bibliophiler"|1|
"Zoologe"|1|
"Prälat"|1|
"Hofmeister"|1|
"Schriftstellerin"|1|
"Chorherren"|1|
"Bauer"|1|
"Jugendseelsorger"|1|
"Artillerist"|1|
"Kirchenhistoriker"|1|
"Satiriker"|1|
"Journalist"|1|
"Heraldiker"|1|
"Numismatiker"|1|
"Stifter"|1|
"Autorin"|1|
"Feministin"|1|
"Feinmechaniker"|1|
"Genealoge"|1|
"Pietist"|1|
"Tischler"|1|
"Kupferstecherin"|1|
"Zeichnerin"|1|
"Liederdichter"|1|
"Generalsuperintendent"|1|
"Regierungsrat"|1|
"Musikschriftsteller"|1|
"Gouverneur"|1|
"Archivar"|1|
"Lyriker"|1|
"Innenminister"|1|
"Major"|1|
"Konstrukteur"|1|
"Politologe"|1|
"Rechtsanwalt"|1|
"Gärtner"|1|
"Geiger"|1|
"Musikdirektor"|1|
"Jurastudent"|1|
"Mathematikerin"|1|
"Physikerin"|1|
"Soldat"|1|
"Orgelbauer"|1|
"Techniker"|1|
