index,value
0,cnp01382157
1,cnp01371511
2,cnp01443734
3,cnp00099486
4,cnp01919632
5,cnp01884261
6,cnp00981196
7,cnp01919634
8,cnp00384742
9,cnp00900145
10,cnp01005388
11,cnp01200592
12,cnp00099596
13,cnp01919638
14,cnp01022250
15,cnp00099652
16,cnp01230224
17,cnp02101595
18,cnp01316341
19,cnp01350201
20,cnp02138394
21,cnp01406042
22,cnp01039622
23,cnp01019887
24,cnp01911207
25,cnp01120503
26,cnp00099707
27,cnp02063933
28,cnp01360324
29,cnp00385731
30,cnp02187282
31,cnp00901761
32,cnp01876658
33,cnp01468084
34,cnp00412417
35,cnp00951066
36,cnp00428303
37,cnp00935714
38,cnp01313405
39,cnp00099863
40,cnp00656276
41,cnp00126948
42,cnp01882444
43,cnp00432861
44,cnp02113927
45,cnp01919642
46,cnp01879063
47,cnp00431494
48,cnp01271306
49,cnp01395548
50,cnp02235885
51,cnp01919643
52,cnp01410458
53,cnp00950376
54,cnp01327983
55,cnp00639985
56,cnp00017586
57,cnp01180322
58,cnp00390975
59,cnp00475665
60,cnp01230587
61,cnp01973939
62,cnp00946101
63,cnp00385870
64,cnp00394069
65,cnp01880963
66,cnp01893537
67,cnp01347892
68,cnp02289918
69,cnp00394082
70,cnp00442569
71,cnp01985074
72,cnp01316398
73,cnp02266756
74,cnp01401002
75,cnp01022587
76,cnp01347939
77,cnp00827344
78,cnp01327988
79,cnp02140685
80,cnp02266318
81,cnp00846462
82,cnp01006600
83,cnp01273893
84,cnp02106929
85,cnp01919647
86,cnp01919648
87,cnp01281146
88,cnp00489873
89,cnp01880656
90,cnp01078061
91,cnp01364652
92,cnp01302791
93,cnp01078157
94,cnp01354003
95,cnp02312162
96,cnp00017635
97,cnp00900804
98,cnp00145517
99,cnp00427443
100,cnp00100623
101,cnp01978028
102,cnp02134922
103,cnp01364676
104,cnp02317470
105,cnp00287013
106,cnp01320054
107,cnp01880566
108,cnp01010326
109,cnp02244896
110,cnp01361231
111,cnp00820002
112,cnp00667611
113,cnp02142017
114,cnp00370784
115,cnp01131737
116,cnp00649901
117,cnp00430633
118,cnp00936828
119,cnp02143646
120,cnp01397388
121,cnp02294466
122,cnp02294307
123,cnp00390358
124,cnp00822732
125,cnp01010751
126,cnp01226188
127,cnp01912085
128,cnp00557459
129,cnp01155901
130,cnp00446750
131,cnp01329248
132,cnp02162969
133,cnp01360154
134,cnp01419086
135,cnp01336175
136,cnp01919652
137,cnp01329886
138,cnp01329730
139,cnp01348997
140,cnp01277370
141,cnp01881051
142,cnp01307458
143,cnp01338801
144,cnp00951335
145,cnp00390388
146,cnp01316493
147,cnp02235906
148,cnp00905813
149,cnp01316503
150,cnp01435092
151,cnp01468914
152,cnp01389573
153,cnp01328238
154,cnp01415197
155,cnp01238784
156,cnp00561947
157,cnp01017951
158,cnp00283141
159,cnp02162972
160,cnp00176141
161,cnp01225960
162,cnp00471286
163,cnp02114812
164,cnp01919655
165,cnp01331142
166,cnp02162975
167,cnp00870301
168,cnp01919656
169,cnp00503273
170,cnp01419696
171,cnp01467090
172,cnp01336730
173,cnp01199180
174,cnp01316530
175,cnp00626410
176,cnp00101218
177,cnp02138644
178,cnp00471549
179,cnp00381221
180,cnp00973415
181,cnp02120891
182,cnp01177963
183,cnp00924536
184,cnp00504169
185,cnp00397446
186,cnp00613945
187,cnp02128577
188,cnp00504752
189,cnp01011319
190,cnp01316539
191,cnp00639317
192,cnp02230942
193,cnp00283140
194,cnp01370615
195,cnp01231352
196,cnp02181017
197,cnp01231373
198,cnp01320598
199,cnp01880790
200,cnp00167512
201,cnp01200223
202,cnp01231403
203,cnp01291828
204,cnp01303100
205,cnp02127710
206,cnp01208519
207,cnp00638047
208,cnp01919658
209,cnp01002799
210,cnp02197924
211,cnp01127772
212,cnp01377605
213,cnp01073918
214,cnp01920892
215,cnp00580895
216,cnp01323883
217,cnp01337053
218,cnp01436478
219,cnp01510943
220,cnp01088897
221,cnp02334268
222,cnp02154944
223,cnp01320899
224,cnp02211160
225,cnp01879023
226,cnp00385275
227,cnp01019872
228,cnp01231531
229,cnp01877435
230,cnp01088917
231,cnp01351361
232,cnp00476987
233,cnp01983220
234,cnp00479927
235,cnp01347099
236,cnp02239020
237,cnp00942919
238,cnp01876598
239,cnp00871211
240,cnp02235933
241,cnp01884314
242,cnp01402629
243,cnp01231580
244,cnp00069034
245,cnp01226788
246,cnp00467744
247,cnp01986754
248,cnp00590585
249,cnp01255966
250,cnp01322254
251,cnp01875813
252,cnp02171201
253,cnp02230047
254,cnp01391772
255,cnp02108210
256,cnp00950796
257,cnp01231625
258,cnp01329937
259,cnp02168130
260,cnp00459835
261,cnp01282497
262,cnp01471592
263,cnp00139709
